id;start_date;end_date;notes
1;2024-08-07T21:55:47;2024-08-07T15:18:53;for wave
2;2024-08-07T14:49:29;2024-08-07T15:17:05;even
3;2024-08-08T01:29:23;2024-08-08T12:23:21;merrily yowza and
4;2024-08-07T16:53:48;2024-08-07T22:16:05;adorable
5;2024-08-07T13:41:53;2024-08-07T16:07:22;inasmuch picnic mostly
6;2024-08-07T13:28:45;2024-08-08T04:52:17;concerning
7;2024-08-08T05:37:38;2024-08-07T21:03:38;water although
8;2024-08-07T18:11:37;2024-08-07T15:37:01;combust cardboard
9;2024-08-08T07:29:56;2024-08-07T14:59:30;crop plus sympathetically
10;2024-08-07T17:29:13;2024-08-07T21:19:16;gosh given
